task_index,subpass,mean_score
12,0,1.0000000000
12,1,1.0000000000
12,2,1.0000000000
12,3,1.0000000000
12,4,1.0000000000
12,5,1.0000000000
12,6,0.8333333333
12,7,1.0000000000
12,8,0.8333333333
12,9,1.0000000000
12,10,0.8333333333
12,11,0.8333333333
12,12,0.5000000000
12,13,0.8333333333
12,14,0.5000000000
12,15,0.5000000000
12,16,0.3333333333
12,17,0.3333333333
12,18,0.1666666667
12,19,0.5000000000
12,20,0.6666666667
12,21,0.5000000000
12,22,0.5000000000
12,23,0.8333333333
12,24,0.6666666667
12,25,0.6666666667
12,26,0.6666666667
12,27,0.6666666667
12,28,0.6666666667
12,29,0.5000000000
12,30,0.6666666667
12,31,0.5000000000
12,32,0.5000000000
12,33,0.6666666667
12,34,0.5000000000
12,35,0.5000000000
12,36,0.6666666667
12,37,0.3333333333
12,38,0.5000000000
12,39,0.5000000000
