task_index,subpass,model_run,score
11,0,claude-sonnet-4-5-HighReasoning,1.0000000000
11,1,claude-sonnet-4-5-HighReasoning,0.0000000000
11,2,claude-sonnet-4-5-HighReasoning,1.0000000000
11,3,claude-sonnet-4-5-HighReasoning,0.0000000000
11,4,claude-sonnet-4-5-HighReasoning,0.0000000000
11,5,claude-sonnet-4-5-HighReasoning,0.0000000000
11,6,claude-sonnet-4-5-HighReasoning,0.0997466435
11,7,claude-sonnet-4-5-HighReasoning,0.5109518160
11,8,claude-sonnet-4-5-HighReasoning,0.0000000000
11,9,claude-sonnet-4-5-HighReasoning,0.0000000000
11,10,claude-sonnet-4-5-HighReasoning,0.0520187478
11,11,claude-sonnet-4-5-HighReasoning,0.0638378519
11,12,claude-sonnet-4-5-HighReasoning,0.0000000000
11,0,claude-sonnet-4-5-Reasoning-Tools,1.0000000000
11,1,claude-sonnet-4-5-Reasoning-Tools,0.0083640013
11,2,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
11,3,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
11,4,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
11,5,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
11,6,claude-sonnet-4-5-Reasoning-Tools,0.0003324888
11,7,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
11,8,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
11,9,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
11,10,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
11,11,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
11,12,claude-sonnet-4-5-Reasoning-Tools,0.0000000000
11,0,gemini-3-pro-preview-HighReasoning,1.0000000000
11,1,gemini-3-pro-preview-HighReasoning,0.4851120776
11,2,gemini-3-pro-preview-HighReasoning,1.0000000000
11,3,gemini-3-pro-preview-HighReasoning,1.0000000000
11,4,gemini-3-pro-preview-HighReasoning,0.0278889691
11,5,gemini-3-pro-preview-HighReasoning,1.0000000000
11,6,gemini-3-pro-preview-HighReasoning,0.0398986574
11,7,gemini-3-pro-preview-HighReasoning,0.0000000000
11,8,gemini-3-pro-preview-HighReasoning,0.0911078717
11,9,gemini-3-pro-preview-HighReasoning,0.0154111988
11,10,gemini-3-pro-preview-HighReasoning,0.0157632569
11,11,gemini-3-pro-preview-HighReasoning,0.0069822650
11,12,gemini-3-pro-preview-HighReasoning,0.0349454850
11,0,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
11,1,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
11,2,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
11,3,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
11,4,gemini-3-pro-preview-Reasoning-Tools,0.6184789028
11,5,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
11,6,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
11,7,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
11,8,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
11,9,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
11,10,gemini-3-pro-preview-Reasoning-Tools,0.8165367074
11,11,gemini-3-pro-preview-Reasoning-Tools,0.9894867038
11,12,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
11,0,gpt-5.2-HighReasoning,1.0000000000
11,1,gpt-5.2-HighReasoning,1.0000000000
11,2,gpt-5.2-HighReasoning,1.0000000000
11,3,gpt-5.2-HighReasoning,1.0000000000
11,4,gpt-5.2-HighReasoning,1.0000000000
11,5,gpt-5.2-HighReasoning,1.0000000000
11,6,gpt-5.2-HighReasoning,1.0000000000
11,7,gpt-5.2-HighReasoning,0.0000000000
11,8,gpt-5.2-HighReasoning,0.0000000000
11,9,gpt-5.2-HighReasoning,0.2269649278
11,10,gpt-5.2-HighReasoning,0.1134954497
11,11,gpt-5.2-HighReasoning,0.1588465298
11,12,gpt-5.2-HighReasoning,0.0000000000
11,0,gpt-5.2-Reasoning-Tools,1.0000000000
11,1,gpt-5.2-Reasoning-Tools,1.0000000000
11,2,gpt-5.2-Reasoning-Tools,0.0000000000
11,3,gpt-5.2-Reasoning-Tools,1.0000000000
11,4,gpt-5.2-Reasoning-Tools,0.0000000000
11,5,gpt-5.2-Reasoning-Tools,0.0000000000
11,6,gpt-5.2-Reasoning-Tools,1.0000000000
11,7,gpt-5.2-Reasoning-Tools,1.0000000000
11,8,gpt-5.2-Reasoning-Tools,1.0000000000
11,9,gpt-5.2-Reasoning-Tools,0.0000000000
11,10,gpt-5.2-Reasoning-Tools,0.0000000000
11,11,gpt-5.2-Reasoning-Tools,0.0000000000
11,12,gpt-5.2-Reasoning-Tools,0.0000000000
